                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58289,                0.62312,                0.95731,                0.91272,                0.92313,                0.94591,                0.76402,                0.71762,                0.83329,                0.98208,             0.00038375,             0.00038375,             0.00038375
                     37,                0.61151,                0.60834,                0.95474,                0.93033,                0.90011,                0.94919,                0.76759,                0.71674,                0.82404,                 0.9729,               0.000359,               0.000359,               0.000359
                     38,                0.58422,                0.61442,                0.96919,                0.89746,                0.93546,                0.94889,                0.76879,                0.70015,                0.81196,                0.95077,             0.00033425,             0.00033425,             0.00033425
                     39,                0.58838,                0.60561,                 0.9457,                0.92503,                0.91692,                0.94088,                0.76798,                0.71525,                0.82911,                0.94647,              0.0003095,              0.0003095,              0.0003095
                     40,                0.57219,                0.59758,                0.95518,                0.92608,                0.91199,                0.93934,                0.76905,                 0.7196,                 0.8727,                0.94544,             0.00028475,             0.00028475,             0.00028475
                     41,                0.55432,                0.79743,                 0.8872,                  0.926,                  0.913,                0.92363,                0.74728,                0.69833,                0.90546,                0.93717,                0.00026,                0.00026,                0.00026
                     42,                0.51209,                 0.7138,                0.88745,                0.92844,                0.91694,                0.92055,                0.74974,                0.69164,                0.94913,                0.93392,             0.00023525,             0.00023525,             0.00023525
                     43,                 0.5294,                0.69827,                0.88714,                0.90697,                0.91963,                0.90772,                0.74167,                0.68363,                 1.0278,                 0.9365,              0.0002105,              0.0002105,              0.0002105
                     44,                0.50205,                0.68864,                0.87937,                0.90343,                0.92313,                0.91075,                0.74914,                0.68907,                0.99188,                0.94144,             0.00018575,             0.00018575,             0.00018575
                     45,                0.51421,                0.66728,                0.88937,                0.90748,                0.92286,                0.91875,                0.75408,                0.68791,                0.95881,                0.94144,               0.000161,               0.000161,               0.000161
                     46,                0.50443,                0.66208,                 0.8773,                0.92995,                 0.8991,                 0.9291,                0.76403,                0.68355,                0.88983,                0.93071,             0.00013625,             0.00013625,             0.00013625
                     47,                0.51032,                 0.6437,                0.87974,                0.91083,                0.93171,                0.93452,                0.77269,                0.67949,                0.83632,                0.92005,              0.0001115,              0.0001115,              0.0001115
                     48,                0.51639,                0.64412,                0.88913,                0.92856,                0.92444,                0.93529,                0.77447,                0.67361,                0.81621,                0.91575,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.51368,                0.62646,                0.85738,                0.92306,                 0.9368,                0.94205,                0.78583,                0.66206,                0.79661,                0.91077,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.50669,                0.63354,                  0.897,                 0.9296,                0.94185,                0.94254,                0.78599,                0.66139,                0.79501,                0.90988,              3.725e-05,              3.725e-05,              3.725e-05
